asn,cone_asns,cone_prefixes,cone_addresses
1299,27464,261250,843398912
174,25189,205691,828228352
3356,32383,239394,805786880
2914,23570,226874,731080448
3257,22508,220628,592865280
6453,14667,168553,584667648
6939,14887,129114,355993856
6762,15433,136168,294896384
209,4534,47906,294652416
701,3204,35361,275268864
4134,983,28056,262392064
1273,6750,59992,251016448
7018,3164,25227,241946112
1239,2007,25261,240724736
4766,948,25317,218170368
3320,4426,27616,183819008
3491,7173,80783,163745280
4637,2749,38891,136163328
12956,4152,36018,124029440
7922,2557,16996,118680576
11537,864,9249,116646144
6461,5268,34481,112920832
43531,813,11130,110307072
5511,1935,18968,105213440
4837,312,9186,101350912
721,136,7601,84099840
2516,745,9315,83228416
20965,578,6381,81285888
11164,622,4355,79702784
2828,2024,14153,77116416
58453,182,14100,66718208
7738,1921,15160,59561984
53708,1664,18795,58582528
9808,56,11214,58100224
17676,268,2885,56965888
3549,6755,43221,54941184
10026,677,7411,53754368
286,1939,12171,47325696
7473,2345,29631,47038464
7843,859,5119,45005056
6830,1832,12089,44782336
2497,467,5424,44004096
15412,1832,19989,43705088
3215,254,2517,42527488
7474,754,6494,39255040
1221,970,11712,38491648
4713,185,1830,37771008
3786,452,10316,37055488
9318,539,12174,35849472
27064,101,5402,34202112
71,8,93,33749760
22388,114,2186,31241728
9498,1958,25226,30671616
6167,2,981,30603776
16509,5,2381,30031872
12389,3491,18950,29551616
9002,5341,26183,28790784
8928,1424,8392,28079360
12874,368,2015,27684096
2152,134,1192,25151488
9304,664,6981,25056000
3269,204,3077,23866368
10429,1393,7839,23319296
18881,506,3770,21977856
39386,234,5695,21762560
8075,11,271,21328640
9394,12,4094,20375040
20485,2905,15960,20241408
8452,58,4273,20046592
5400,359,1550,19930624
21320,295,1321,19845632
2686,86,515,19818752
8881,213,949,19268864
24490,8,825,18960640
9505,578,5937,18495744
7029,604,12224,17814784
4538,12,5563,17365248
22773,534,5442,17303040
2647,13,210,17125888
7377,2,83,17058048
22822,57,438,17024512
31399,1,31,16830464
714,2,680,16794880
4230,458,3277,16278016
15557,88,545,16221184
41095,692,4641,16115456
4847,94,2241,16013056
5650,190,2411,15880960
10578,73,724,15801344
3303,581,2546,15743232
12989,556,3325,15263744
3209,161,1003,15176448
577,442,9072,15140352
6389,12,1722,15109632
28513,150,2542,14912256
3462,39,854,14664960
9680,29,727,14616576
4755,988,16594,14518272
8151,73,4910,14514176
20764,2168,10418,14153728
702,269,1606,14117376
37100,270,2301,14017792
2856,190,740,13758208
20562,429,2147,13335552
3216,2231,11740,13229824
2907,90,972,13216256
22394,1,879,13054208
7660,112,1491,13030400
26769,10,326,12809472
35994,3,358,12785408
21928,1,136,12682496
4812,56,2077,12680704
10507,2,847,12541952
26615,738,3642,12522240
8218,550,2025,12499968
2119,124,905,12461824
33491,239,636,12353536
8121,29,185,12344064
7015,175,735,12316672
12322,5,42,12268544
4808,80,2407,12257792
26599,7,608,12227584
20115,379,3087,12066048
24785,270,1327,12048640
1257,369,1985,11837184
680,38,466,11781376
7332,12,136,11652352
31133,2106,10505,11618816
4249,1,188,11534592
1103,26,190,11464704
3352,143,1010,11461888
3,7,317,11387648
6774,83,1487,11296000
2381,127,868,11096064
33891,933,4507,10919936
14618,1,105,10325248
852,215,4788,10146048
9121,316,12326,10052352
7713,285,4492,10030592
5089,137,698,9943552
17858,52,258,9798912
306,50,229,9765632
23520,357,6370,9737472
3292,150,732,9598464
3561,224,1321,9576192
8359,1690,6516,9541888
10796,273,1521,9467392
27699,33,296,9379840
28573,1,3161,9228544
6327,283,5113,8900608
8966,272,4520,8836608
12880,401,4393,8791808
13184,37,180,8697600
6805,37,271,8697600
1136,43,721,8589312
4657,263,5453,8514048
3301,89,712,8493568
1541,33,427,8387840
7385,255,1207,8377600
5580,358,5897,8322304
4809,780,8490,8132352
